feature,importance
assists_l20_weighted,0.8608390227887063
star_teammate_ppg,0.005172788251507322
games_played_season,0.0038854260049901988
minutes_played_l5_weighted,0.0038084203152340987
season_progress,0.0037948711036439172
days_since_asb,0.0035505005699598404
assists_l20,0.0027447260327226578
opp_assists_allowed_to_position,0.0027063072815451438
defensive_rating_opp,0.002536161636891682
points_l5_weighted,0.0024013673008807176
turnovers_l5_weighted,0.00226066227089825
assists_l10_weighted,0.002214470857864013
assists_l5_weighted,0.0016393322301426457
assists_per_36_l20,0.0015868395894210493
days_rest,0.0015434882286913718
pace_team,0.0015179716890260247
net_rating_l5,0.0015085906661930287
offensive_rating_team,0.001501353228737634
opp_field_goal_pct,0.0014563109290006634
defensive_rating_team,0.0014457997810796244
pace_opp,0.0014387265062443572
offensive_rating_opp,0.001430258378865633
minutes_trend,0.001357032420941766
turnovers_per_36_l20,0.0013379060510528905
defensive_rating_l5,0.0012678697761918964
opp_three_pointers_allowed_to_position,0.0012618984141952608
assists_per_36_l5,0.0012512752059410752
turnovers_per_36_l10,0.0012443462724440778
opp_points_allowed_to_position,0.0012323860565290343
opp_position_turnovers_overall,0.0012019698975300468
games_without_star,0.0011885609911409384
three_pct_l20,0.0011783322196162974
ft_pct_l10,0.0011506626533922062
opp_three_point_pct,0.0011291718958865273
assists_per_36_l10,0.0011206077896665058
steals_per_36_l5,0.0011120465251822664
turnovers_per_36_l5,0.0011026197197432858
defensive_rating_l20,0.0010443955301448883
ft_pct_l20,0.0010399092080528578
steals_per_36_l20,0.0010285385614168053
true_shooting_pct_l20,0.0010177837320410144
usage_rate_l20,0.0009857039142255003
ft_pct_l5,0.0009821332001145025
fg_pct_l20,0.000972970932467122
opp_team_steals_per_game,0.0009638471781541565
steals_per_36_l10,0.0009630805892385195
true_shooting_pct_l10,0.0009564553042056629
opp_rebounds_allowed_to_position,0.0009546351207947929
fg_pct_l10,0.0009455303339357209
turnovers_l10_weighted,0.0009415076319635705
usage_rate_l5_weighted,0.0009317003806229304
pts_per_ast_l5,0.0009296120713135093
ast_to_ratio_l20,0.0009276178706195037
fg_pct_l5,0.0009203279783665002
three_pct_l5,0.0009125679036679669
turnovers_l20_weighted,0.0009118839572693807
opp_team_turnovers_per_game,0.0009097989132499256
rebounds_total_l20,0.0009077297670941688
pts_per_fga_l20,0.0008940322776419539
opp_position_turnovers_vs_team,0.0008930046971940415
three_pct_l10,0.0008919924405747312
opp_position_steals_overall,0.0008885727862797144
usage_rate_l5,0.0008803328040212237
offensive_rating_l5,0.0008795712101519308
ast_to_ratio_l5,0.0008538855190778808
true_shooting_pct_l5,0.0008512768632221276
pts_per_fga_l5,0.0008446506033070216
steals_l10_weighted,0.0008263348909328261
minutes_played_l20,0.0008162337120717662
pts_per_fga_l10,0.0008071635655404448
minutes_played_l5,0.0008035698466421092
points_per_36_l5,0.0007873185571938593
steals_l20_weighted,0.0007815332199846502
defensive_rating_l10,0.000770430202562981
games_in_last_7_days,0.0007621772665589547
assists_l10,0.0007552473043279337
net_rating_l10,0.0007550337491314067
ast_to_ratio_l10,0.0007538615504744886
